id,label_0,label_1,label_2,label_3
120000,1.3703530532538366e-09,1.9301898943177828e-17,1.0,2.8596092507826576e-13
120001,1.0,1.6815581571897805e-44,6.3017486826115616e-24,4.462407246487752e-32
120002,1.0,0.0,3.2397179716111176e-40,6.24278465856706e-42
120003,1.9875078859395422e-16,1.0,1.4578512357042828e-17,1.9140929863560375e-27
120004,1.0,0.0,3.168555641120719e-35,6.908401429121348e-43
120005,1.0,0.0,7.76493017731212e-23,2.706188262214467e-29
120006,1.0,9.90890805923956e-30,3.6440599470971265e-30,6.581856100803981e-20
120007,5.233170605086753e-31,2.7064490692401232e-27,1.0,5.442567565320516e-39
120008,1.0,1.0452190873664536e-32,3.0926182840083644e-20,4.2188569739599505e-29
120009,1.0,1.8736191527318582e-31,1.3566916622690535e-24,1.6746754349584103e-26
120010,1.0,4.378343038798248e-40,1.154601058727449e-19,1.9894461509881547e-27
120011,1.0,0.0,5.995094657590593e-33,0.0
120012,1.0,8.505160070996071e-33,2.1945475657676506e-31,4.2785710842944454e-26
120013,1.0,5.046120823236645e-34,3.519171139062375e-28,2.0554654887377936e-27
120014,1.0,3.886617889119415e-24,1.2271861620698297e-14,1.156337023258688e-20
120015,1.0,8.295698119190632e-39,5.3616154170370934e-20,2.1675008043286767e-30
120016,1.1406569499604011e-42,6.628889469116948e-38,8.424957031834947e-31,1.0
120017,3.2035254326143665e-25,1.3245462706345894e-24,1.0,3.051799219444362e-28
120018,1.0,2.8091126571020436e-35,5.1598864851421695e-23,1.462494023722443e-28
120019,1.0,0.0,6.64754164493973e-26,2.127656971890174e-35
120020,1.0,3.5441213207506685e-28,1.6745548563364521e-25,1.1562458779935975e-25
120021,1.0,1.7454491586259157e-20,4.396987194260373e-21,7.794780330693806e-17
120022,1.0,5.09464141169085e-37,1.864564944703182e-15,1.416188719254962e-22
120023,1.0,3.761059059603345e-20,4.543425482260693e-19,1.0642973635141229e-19
120024,1.0,1.401298464324817e-45,1.1955770960583572e-26,4.653910028690806e-31
120025,1.0,5.656100401015431e-30,3.8513138891219844e-17,9.347074747400208e-19
120026,1.0,4.0116936424071914e-30,4.1181947378166404e-26,7.734413862333027e-25
120027,1.0,4.9826810275076115e-40,5.568379310299804e-26,1.6703896954087885e-24
120028,1.401298464324817e-43,3.552291607063411e-42,3.271956604729642e-27,1.0
120029,2.848430639443628e-30,1.7483385769354904e-38,2.1567270929748592e-32,1.0
120030,1.0,3.011248868689135e-39,7.92095795339205e-21,4.121679785088207e-28
120031,6.888136702201636e-25,2.7582165283002677e-36,3.1546897656814954e-25,1.0
120032,1.0,5.1044134651959876e-27,2.760440935968465e-26,3.7634179809807824e-25
120033,3.5942331395742454e-31,6.456169904559357e-37,2.751377355575783e-27,1.0
120034,0.0,0.0,6.716054271131191e-34,1.0
120035,1.0,1.1089919991386444e-36,1.937004497717209e-18,6.649781097790136e-24
120036,8.032228185090442e-22,1.0,6.031587328698894e-34,3.9865010117176565e-33
120037,1.0,7.42688186092153e-44,8.058275677983243e-24,9.02272275187668e-28
120038,9.051810553309246e-30,4.790601412146496e-34,1.507622210454455e-23,1.0
120039,4.203895392974451e-45,2.802596928649634e-45,6.12894764918737e-29,1.0
120040,2.942726775082116e-44,5.605193857299268e-45,2.6563806684758883e-27,1.0
120041,1.0,2.8254129957853983e-22,2.4898306009871706e-18,1.1848319365505815e-16
120042,1.0,1.410803548294785e-20,4.909173709916267e-24,2.1781557704172434e-19
120043,3.977968562191014e-12,3.7695912983748585e-20,1.0,2.0498664874470617e-20
120044,1.0,0.0,4.9114287000246404e-36,1.251652456073044e-37
120045,0.0,0.0,3.968190336214898e-32,1.0
120046,1.0559056654999817e-35,2.62444985488002e-40,2.2912418032555566e-30,1.0
120047,1.0,3.1178778727350034e-39,5.1450395707032764e-26,1.3903913071020294e-24
120048,1.0,1.1561041603645697e-26,1.0327379933021756e-18,1.6064608336345665e-22
120049,3.363116314379561e-44,3.965674654039232e-42,7.636408620032158e-32,1.0
120050,1.5867044659266125e-36,0.0,1.0,0.0
120051,1.0,0.0,1.1597650827248648e-35,2.802596928649634e-45
120052,1.0,7.165259437632087e-41,3.464228209608896e-28,5.5020520356113565e-28
120053,1.0,0.0,4.6856945683890174e-29,6.812677004032421e-30
120054,8.882325708937632e-29,6.499150767820517e-34,1.0,1.7267420592984146e-33
120055,1.0,0.0,2.5978459591483613e-35,5.286848890043745e-37
120056,1.0,1.1921217681969486e-24,2.3054567341141376e-20,2.4558504479384956e-20
120057,1.3701347580514654e-26,2.0922271244583464e-35,1.0,1.8981988997743972e-41
120058,1.0,1.1109171926520355e-39,1.149560800402721e-39,3.390937694090266e-39
120059,1.0,7.006492321624085e-45,2.413981240743355e-18,1.3597834238607685e-26
120060,1.0,0.0,3.0576792133391526e-31,4.7077070324500813e-39
120061,1.0,3.8578775170710204e-29,2.175050482698931e-19,2.1807539859166836e-30
120062,1.0,3.291650092698995e-42,1.2587635861535963e-36,1.1282871278964202e-38
120063,4.491092339219189e-34,3.4189561173186148e-31,1.0,2.802596928649634e-44
120064,1.0,1.0209612646946932e-22,1.1082305490233302e-14,1.0733272273566826e-21
120065,1.0,3.222622130346355e-39,6.339160017366353e-34,7.522739106092909e-35
120066,1.0,1.9388284762043282e-20,9.06109895435262e-16,4.013147659917256e-15
120067,1.0,1.1922412127174948e-37,6.4495611504810715e-18,3.107776479805014e-22
120068,1.0,3.509378242891928e-39,3.388835781110795e-21,2.8924129403953e-24
120069,1.0,0.0,3.771465841328234e-25,1.778508953261943e-37
120070,1.0,1.4445627405366977e-35,1.4344952948004805e-15,2.5432244495601244e-24
